100,1,1,1,1,0,2147483647
101,1,1,1,1,0,2147483647
102,1,1,1,1,0,2147483647
103,1,1,1,1,0,2147483647
104,1,1,1,1,0,2147483647
105,1,1,1,1,0,2147483647
106,1,1,1,1,0,2147483647
107,1,1,1,1,0,2147483647
108,1,3,1,1,0,1
109,1,1,1,1,0,2
800,1,1,2,1,0,2147483647
1000,0,1,2,1,-inf,inf
1001,0,1,2,1,-inf,inf
1010,0,1,2,1,-inf,inf
1011,0,1,2,1,-inf,inf
1012,0,1,2,1,-inf,inf
1020,0,1,2,1,-inf,inf
1021,0,1,2,1,-inf,inf
1030,0,1,2,1,-inf,inf
1031,0,1,2,1,-inf,inf
1032,0,1,2,1,-inf,inf
1040,0,1,2,1,-inf,inf
1041,0,1,2,1,-inf,inf
1042,0,1,2,1,-inf,inf
1043,0,1,2,1,-inf,inf
1044,0,1,2,1,-inf,inf
1045,0,1,2,1,-inf,inf
1046,0,1,2,1,-inf,inf
1050,1,1,1,1,0,2147483647
1051,1,1,1,1,0,2147483647
1052,1,1,1,1,0,2147483647
1053,1,1,1,1,0,2147483647
1054,1,1,1,1,0,2147483647
1060,0,1,1,1,-inf,inf
1061,0,1,1,1,-inf,inf
1062,0,1,1,1,-inf,inf
1063,0,1,1,1,-inf,inf
1070,1,1,1,1,0,2147483647
1071,1,1,1,1,0,2147483647
1072,1,1,1,1,0,2147483647
1080,1,1,1,1,0,2147483647
1081,1,1,1,1,0,2
1090,0,1,1,1,-inf,inf
1100,0,1,2,1,-inf,inf
1101,0,1,2,1,-inf,inf
1102,0,1,2,1,-inf,inf
1103,0,1,2,1,-inf,inf
1110,0,1,1,1,-inf,inf
1111,0,1,1,1,-inf,inf
1200,1,1,2,1,0,2
2000,1,3,2,1,0,2
2010,1,3,2,1,0,3
2020,0,3,2,1,-4.0,4.0
2021,0,3,2,1,0.0,21.0
2030,0,3,2,1,0.0,4.0
2031,0,3,2,1,0.0,21.0
2032,0,3,2,1,0.0,5.599999904632568
2033,0,3,2,1,0.0,25.0
2040,1,3,1,1,0,2
